feature,importance_mean,importance_std
ctx__pack_utilization_scenario_mean,6097.8,2054.8470016037695
ctx__low_battery_ratio_scenario_delta,1583.8,771.6976091708461
ctx__manual_override_ratio_scenario_delta,1501.8,548.3750541372209
pred__lightgbm_v021_no_layout_id_core_holdout_log1p_scenario_relative,1439.2,418.4222747416777
layout_type,1142.8,543.4783344347776
ctx__max_zone_density_scenario_delta,1125.8,553.6521471104397
ctx__order_inflow_per_pack_station,1116.8,621.0335739716494
ctx__congestion_score_scenario_delta,1073.4,406.2385998400448
stack_pred_min,1022.6,334.0895089642894
diff__pred__lightgbm_v021_no_layout_id_core_holdout_log1p_scenario_relative__pred__lightgbm_v013_no_layout_id_core_holdout_log1p,947.0,492.0579234195909
diff__pred__stack_lgb_meta_v003_log1p_family__pred__lightgbm_v013_no_layout_id_core_holdout_log1p,916.8,465.55794483608594
pred__lightgbm_v013_no_layout_id_core_holdout_log1p,820.6,391.8428256329315
pred__stack_lgb_meta_v003_log1p_family,809.6,392.3197675366358
diff__pred__lightgbm_v021_no_layout_id_core_holdout_log1p_scenario_relative__pred__stack_lgb_meta_v003_log1p_family,773.2,402.0736250986876
ctx__battery_mean,722.6,443.5304950056985
stack_pred_max,620.4,257.4835917102292
stack_pred_mean,555.6,210.42647171874552
stack_pred_std,503.0,335.94716846551927
ctx__battery_mean_scenario_delta,385.8,287.8761886645021
ctx__pack_utilization_scenario_delta,361.8,272.29065353037737
ctx__order_inflow_15m_scenario_delta,360.8,233.43136036102774
ctx__forklift_active_count_scenario_delta,300.4,363.4237196441641
ctx__avg_trip_distance_scenario_delta,161.6,221.45157484199567
ctx__loading_dock_util_scenario_delta,134.2,191.0541807969666
ctx__shift_handover_delay_min_scenario_delta,124.2,177.57167566929135
