epoch,train_loss,valid_loss,valid_logloss,valid_accuracy,valid_auc,lr
1,0.376749,0.154538,0.131182,0.98,1.0,0.0001
2,0.143473,0.09776,0.066144,0.995,1.0,9.874639560909117e-05
3,0.079973,0.085971,0.050233,0.995,1.0,9.504844339512095e-05
4,0.066789,0.07483,0.041404,1.0,1.0,8.90915741234015e-05
5,0.060176,0.072583,0.038722,1.0,1.0,8.117449009293668e-05
6,0.056969,0.071182,0.037521,1.0,1.0,7.169418695587791e-05
7,0.05889,0.068382,0.032589,1.0,1.0,6.112604669781572e-05
8,0.059607,0.070375,0.035804,1.0,1.0,5e-05
9,0.05959,0.069428,0.034335,1.0,1.0,3.887395330218429e-05
10,0.057245,0.064876,0.028236,1.0,1.0,2.8305813044122097e-05
11,0.056462,0.066342,0.030452,1.0,1.0,1.8825509907063327e-05
12,0.05637,0.066525,0.03103,1.0,1.0,1.0908425876598516e-05
13,0.056475,0.067299,0.03198,1.0,1.0,4.951556604879048e-06
14,0.056337,0.065074,0.028936,1.0,1.0,1.2536043909088191e-06
15,0.056349,0.06574,0.029866,1.0,1.0,0.0
